geoid,md_primary_care_count,do_primary_care_count,total_population,pcp_count,pcp_per_100k
04005,107.0,20.0,144060.0,127.0,88.1577120644176
04007,20.0,7.0,53922.0,27.0,50.07232669411372
04009,14.0,3.0,38779.0,17.0,43.83815982877331
04011,5.0,1.0,9302.0,6.0,64.50225757901526
04012,5.0,1.0,16506.0,6.0,36.350418029807344
04013,2664.0,476.0,4551524.0,3140.0,68.98788186110849
04015,97.0,23.0,220816.0,120.0,54.34388812404898
04017,58.0,9.0,108650.0,67.0,61.6658996778647
04019,850.0,87.0,1057597.0,937.0,88.59707431091427
04021,72.0,13.0,464154.0,85.0,18.312887533017058
04023,21.0,0.0,48759.0,21.0,43.06897188211407
04025,100.0,25.0,246191.0,125.0,50.77358636180852
04027,83.0,6.0,207842.0,89.0,42.82098902050596
05001,9.0,1.0,16512.0,10.0,60.56201550387597
05003,7.0,1.0,18354.0,8.0,43.58722894192002
05005,32.0,1.0,42435.0,33.0,77.76599505125486
05007,151.0,19.0,302863.0,170.0,56.13098991953458
05009,20.0,3.0,38284.0,23.0,60.077316894786335
05011,5.0,0.0,10135.0,5.0,49.3339911198816
05013,0.0,1.0,4695.0,1.0,21.299254526091584
05015,18.0,2.0,28742.0,20.0,69.58458005705936
05017,4.0,2.0,9873.0,6.0,60.77180188392585
05019,12.0,0.0,21250.0,12.0,56.470588235294116
05021,1.0,0.0,14265.0,1.0,7.010164738871364
05023,16.0,1.0,25284.0,17.0,67.23619680430312
05025,0.0,0.0,7467.0,0.0,0.0
05027,15.0,0.0,22216.0,15.0,67.51890529348218
05029,12.0,0.0,21046.0,12.0,57.01796065760715
05031,121.0,20.0,113017.0,141.0,124.75999185963174
05033,18.0,5.0,61075.0,23.0,37.65861645517806
05035,18.0,0.0,47061.0,18.0,38.248231019315355
05037,7.0,1.0,16601.0,8.0,48.18986808023613
05039,1.0,0.0,6191.0,1.0,16.152479405588757
05041,4.0,1.0,10771.0,5.0,46.42094513044285
05043,14.0,1.0,16911.0,15.0,88.69966294128082
05045,71.0,5.0,127665.0,76.0,59.53080327419418
05047,6.0,1.0,17271.0,7.0,40.53036882635632
05049,5.0,0.0,12382.0,5.0,40.381198513971896
05051,71.0,10.0,100089.0,81.0,80.92797410304829
05053,2.0,0.0,18160.0,2.0,11.013215859030838
05055,23.0,2.0,46448.0,25.0,53.82363072683432
05057,5.0,0.0,19453.0,5.0,25.70297640466766
05059,8.0,0.0,33203.0,8.0,24.094208354666748
05061,5.0,0.0,12557.0,5.0,39.81842796846381
05063,30.0,3.0,37945.0,33.0,86.96797997101068
05065,4.0,0.0,14048.0,4.0,28.473804100227788
05067,4.0,1.0,16624.0,5.0,30.076997112608275
05069,48.0,2.0,64246.0,50.0,77.82585686268406
05071,11.0,3.0,26001.0,14.0,53.8440829198877
05073,1.0,0.0,6101.0,1.0,16.390755613833797
05075,5.0,1.0,16205.0,6.0,37.02560937982104
05077,0.0,2.0,8364.0,2.0,23.912003825920614
05079,0.0,1.0,12916.0,1.0,7.74233508826262
05081,3.0,0.0,11821.0,3.0,25.37856357330175
05083,3.0,1.0,21253.0,4.0,18.8208723474333
05085,13.0,2.0,75225.0,15.0,19.940179461615152
05087,4.0,0.0,17486.0,4.0,22.875443211712227
05089,3.0,1.0,17254.0,4.0,23.18303002202388
05091,30.0,1.0,42552.0,31.0,72.852039857116
05093,13.0,0.0,38896.0,13.0,33.42245989304813
05095,4.0,0.0,6564.0,4.0,60.938452163315056
05097,2.0,1.0,8556.0,3.0,35.06311360448808
05099,2.0,0.0,8181.0,2.0,24.446889133357782
05101,0.0,0.0,7078.0,0.0,0.0
05103,14.0,0.0,22049.0,14.0,63.49494308131888
05105,2.0,0.0,10063.0,2.0,19.87478883036868
05107,5.0,3.0,15304.0,8.0,52.27391531625719
05109,4.0,1.0,10179.0,5.0,49.12073877591119
05111,2.0,0.0,22495.0,2.0,8.890864636585908
05113,13.0,2.0,19337.0,15.0,77.57149506128148
05115,36.0,3.0,64065.0,39.0,60.87567314446265
05117,0.0,0.0,8069.0,0.0,0.0
05119,479.0,13.0,399145.0,492.0,123.26347567926442
05121,10.0,1.0,18837.0,11.0,58.39571056962361
05123,12.0,0.0,22451.0,12.0,53.4497349783974
05125,47.0,2.0,127357.0,49.0,38.474524368507424
05127,1.0,1.0,9805.0,2.0,20.39775624681285
05129,1.0,1.0,7918.0,2.0,25.25890376357666
05131,142.0,21.0,129059.0,163.0,126.29882456860815
05133,7.0,0.0,15686.0,7.0,44.62578095116665
05135,5.0,0.0,17810.0,5.0,28.074115665356544
05137,5.0,0.0,12575.0,5.0,39.761431411530815
05139,22.0,2.0,37752.0,24.0,63.57279084551812
05141,3.0,1.0,16102.0,4.0,24.841634579555333
