geoid,uninsured_pct,high_bp_pct,asthma_pct,no_check_up_pct,no_dental_visit_pct,diabetes_pct,high_cholesterol_pct
29087,9.05,37.05,10.55,77.7,55.05,12.2,37.0
29089,8.45,34.75,10.649999999999999,77.5,58.3,11.05,35.7
29091,11.05,37.900000000000006,11.25,76.95,50.7,13.45,35.849999999999994
29093,10.35,38.9,11.0,77.44999999999999,56.099999999999994,13.25,37.2
29095,10.05,34.55,10.5,76.65,63.15,11.55,36.9
29097,11.0,36.05,10.8,76.35,56.9,12.15,34.95
29099,8.05,33.5,10.5,77.7,59.55,10.3,34.0
29101,8.649999999999999,31.05,10.5,76.8,61.099999999999994,9.95,32.849999999999994
29103,11.05,38.55,11.2,76.9,49.9,13.35,37.05
29105,10.95,37.349999999999994,11.149999999999999,76.9,52.849999999999994,12.75,36.95
29107,8.8,34.3,10.55,76.55,57.35,10.65,37.0
29109,11.85,36.8,10.95,76.65,57.6,12.6,36.25
29111,10.0,35.5,11.05,76.45,53.0,11.8,34.4
29113,8.8,33.0,10.6,76.44999999999999,59.400000000000006,10.5,34.3
29115,9.85,36.15,10.75,77.44999999999999,52.65,12.0,36.55
29117,9.65,35.9,11.15,77.35,59.75,11.55,35.45
29119,14.3,38.9,11.3,76.7,48.55,14.65,36.55
29121,8.75,35.650000000000006,10.5,77.75,57.25,11.4,35.900000000000006
29123,9.85,35.900000000000006,10.7,76.45,56.15,11.899999999999999,35.5
29125,9.65,36.55,10.8,77.25,52.95,11.95,36.150000000000006
29127,9.0,35.95,10.649999999999999,77.44999999999999,57.15,11.7,34.349999999999994
29129,10.95,39.4,10.9,77.65,57.2,13.7,37.400000000000006
29131,9.45,35.95,10.75,77.35,56.5,11.899999999999999,36.45
29133,13.0,42.2,11.649999999999999,78.0,44.3,15.399999999999999,36.150000000000006
29135,10.5,34.4,10.45,76.1,56.25,11.05,35.15
29137,9.9,37.95,10.75,78.0,55.2,13.0,36.8
29139,9.85,37.2,10.95,76.85,55.1,12.4,36.75
29141,11.55,38.85,11.0,76.2,54.2,13.7,37.0
29143,11.55,40.5,11.55,77.25,50.95,14.4,36.7
29145,10.25,35.95,10.75,77.3,60.45,12.25,35.9
29147,8.45,33.15,10.6,77.15,56.2,10.5,33.8
29149,11.25,39.95,11.2,77.25,49.849999999999994,14.5,37.5
29151,7.85,33.6,10.3,76.95,61.650000000000006,10.2,35.4
29153,11.8,42.2,11.3,77.85,46.55,15.4,38.5
29155,13.35,42.55,12.25,79.19999999999999,47.95,16.4,38.15
29157,9.25,35.5,10.45,76.75,58.65,11.2,35.6
29159,10.8,34.349999999999994,10.75,77.2,57.35,11.7,34.35
29161,8.899999999999999,34.65,10.45,76.1,56.650000000000006,11.3,34.15
29163,10.95,37.95,10.6,77.05000000000001,53.25,12.4,35.9
29165,7.1,32.4,9.850000000000001,79.4,65.6,9.4,34.75
29167,10.0,36.1,10.95,77.3,51.849999999999994,12.1,36.05
29169,10.45,31.3,10.149999999999999,75.35,57.95,9.75,30.950000000000003
29171,8.95,36.95,10.5,78.45,60.8,11.899999999999999,36.95
29173,9.15,37.75,10.7,77.75,58.5,12.25,36.75
29175,9.95,35.95,10.9,76.35,55.349999999999994,11.85,34.95
29177,9.35,36.849999999999994,10.7,76.6,58.849999999999994,11.95,36.349999999999994
29179,11.149999999999999,39.1,11.1,76.9,51.099999999999994,13.850000000000001,37.6
29181,11.5,38.849999999999994,11.45,77.25,49.6,14.05,37.35
29183,6.550000000000001,30.15,10.05,77.25,65.8,9.55,34.5
