geoid,uninsured_rate,uninsured_count,total_population
20041,0.09300000000000001,1358.0,14584.0
20043,0.09300000000000001,520.0,5597.0
20045,0.09699999999999999,9383.0,96529.0
20047,0.136,289.0,2131.0
20049,0.125,223.0,1778.0
20051,0.111,2528.0,22738.0
20053,0.09699999999999999,385.0,3982.0
20055,0.174,5649.0,32505.0
20057,0.16399999999999998,4799.0,29271.0
20059,0.08800000000000001,1845.0,20990.0
20061,0.084,2653.0,31652.0
20063,0.1,208.0,2076.0
20065,0.121,212.0,1756.0
20067,0.175,1062.0,6083.0
20069,0.179,863.0,4824.0
20071,0.11699999999999999,116.0,992.0
20073,0.111,487.0,4375.0
20075,0.19899999999999998,407.0,2046.0
20077,0.11800000000000001,488.0,4120.0
20079,0.11,2907.0,26397.0
20081,0.212,621.0,2929.0
20083,0.113,154.0,1362.0
20085,0.10400000000000001,1083.0,10463.0
20087,0.09,1315.0,14559.0
20089,0.11699999999999999,229.0,1965.0
20091,0.059000000000000004,30791.0,518120.0
20093,0.165,525.0,3179.0
20095,0.10300000000000001,591.0,5734.0
20097,0.11800000000000001,199.0,1688.0
20099,0.109,1721.0,15742.0
20101,0.126,147.0,1167.0
20103,0.08,5120.0,64385.0
20105,0.10400000000000001,222.0,2137.0
20107,0.105,799.0,7637.0
20109,0.107,231.0,2154.0
20111,0.135,3474.0,25824.0
20113,0.096,2188.0,22687.0
20115,0.111,961.0,8660.0
20117,0.10300000000000001,790.0,7667.0
20119,0.161,510.0,3165.0
20121,0.076,2141.0,28240.0
20123,0.114,501.0,4381.0
20125,0.113,2732.0,24166.0
20127,0.105,419.0,3973.0
20129,0.152,314.0,2066.0
20131,0.081,656.0,8120.0
20133,0.098,1188.0,12090.0
20135,0.135,266.0,1976.0
20137,0.105,354.0,3383.0
20139,0.1,1243.0,12477.0
20141,0.10300000000000001,265.0,2571.0
20143,0.078,351.0,4523.0
20145,0.1,404.0,4047.0
20147,0.12300000000000001,443.0,3589.0
20149,0.075,1650.0,22110.0
20151,0.111,752.0,6798.0
20153,0.105,192.0,1824.0
20155,0.10099999999999999,4723.0,46947.0
20157,0.09699999999999999,328.0,3371.0
20159,0.107,756.0,7096.0
20161,0.102,5574.0,54411.0
20163,0.131,460.0,3510.0
20165,0.115,254.0,2203.0
20167,0.091,453.0,4997.0
20169,0.099,4180.0,42276.0
20171,0.17600000000000002,700.0,3973.0
20173,0.12300000000000001,53936.0,436746.0
20175,0.182,3384.0,18568.0
20177,0.10099999999999999,14257.0,140781.0
20179,0.07400000000000001,138.0,1853.0
20181,0.134,596.0,4434.0
20183,0.085,211.0,2480.0
20185,0.131,406.0,3093.0
20187,0.149,239.0,1605.0
20189,0.19,821.0,4329.0
20191,0.102,1822.0,17944.0
20193,0.126,768.0,6113.0
20195,0.10800000000000001,219.0,2021.0
20197,0.077,414.0,5348.0
20199,0.086,99.0,1145.0
20201,0.11900000000000001,499.0,4189.0
20203,0.158,258.0,1629.0
20205,0.10400000000000001,690.0,6608.0
20207,0.095,221.0,2327.0
20209,0.151,21216.0,140294.0
21001,0.07400000000000001,1049.0,14231.0
21003,0.064,1117.0,17359.0
21005,0.059000000000000004,1198.0,20212.0
21007,0.065,383.0,5913.0
21009,0.077,2814.0,36352.0
21011,0.063,661.0,10531.0
21013,0.07,1281.0,18396.0
21015,0.047,5575.0,118368.0
21017,0.075,1197.0,16012.0
21019,0.06,2220.0,36722.0
21021,0.06,1338.0,22241.0
21023,0.062,428.0,6918.0
21025,0.067,706.0,10612.0
21027,0.08199999999999999,1346.0,16494.0
21029,0.049,3382.0,69417.0
21031,0.09300000000000001,919.0,9885.0
21033,0.068,665.0,9777.0
21035,0.071,2031.0,28409.0
21037,0.048,3666.0,75832.0
21039,0.083,315.0,3776.0
21041,0.068,616.0,9025.0
21043,0.075,1546.0,20493.0
21045,0.092,1130.0,12261.0
21047,0.07400000000000001,4280.0,57979.0
21049,0.054000000000000006,1614.0,29923.0
21051,0.083,1264.0,15148.0
21053,0.08199999999999999,591.0,7165.0
21055,0.077,525.0,6848.0
21057,0.07400000000000001,340.0,4574.0
21059,0.062,5127.0,83222.0
21061,0.079,766.0,9641.0
21063,0.051,237.0,4668.0
21065,0.078,884.0,11264.0
21067,0.076,19910.0,262646.0
21069,0.077,950.0,12360.0
21071,0.071,1996.0,27930.0
21073,0.064,2621.0,40667.0
21075,0.068,304.0,4439.0
21077,0.066,491.0,7452.0
21079,0.087,1240.0,14173.0
21081,0.066,1413.0,21537.0
21083,0.073,2134.0,29425.0
21085,0.075,1578.0,21090.0
21087,0.079,712.0,8960.0
21089,0.061,1674.0,27331.0
21091,0.059000000000000004,429.0,7325.0
21093,0.059000000000000004,5531.0,93264.0
21095,0.066,1341.0,20289.0
21097,0.062,963.0,15526.0
21099,0.079,1264.0,16004.0
21101,0.069,2394.0,34876.0
21103,0.077,982.0,12824.0
21105,0.07200000000000001,233.0,3231.0
21107,0.068,2441.0,35838.0
21109,0.07400000000000001,787.0,10568.0
21111,0.063,39520.0,627608.0
21113,0.075,3328.0,44288.0
21115,0.067,1182.0,17683.0
21117,0.054000000000000006,7741.0,143509.0
21119,0.07200000000000001,749.0,10458.0
21121,0.073,1749.0,23898.0
21123,0.091,1113.0,12291.0
21125,0.07200000000000001,3683.0,51298.0
21127,0.077,997.0,13032.0
21129,0.067,327.0,4854.0
21131,0.054000000000000006,419.0,7821.0
21133,0.071,1155.0,16298.0
21135,0.076,777.0,10283.0
21137,0.076,1492.0,19702.0
21139,0.057,398.0,6951.0
21141,0.066,1482.0,22397.0
21143,0.085,447.0,5229.0
21145,0.066,3478.0,52745.0
21147,0.08,991.0,12332.0
21149,0.07,515.0,7306.0
21151,0.061,4693.0,77160.0
21153,0.076,691.0,9076.0
21155,0.062,991.0,16011.0
21157,0.062,1515.0,24360.0
21159,0.066,505.0,7619.0
21161,0.073,990.0,13528.0
21163,0.063,1579.0,25198.0
21165,0.067,330.0,4900.0
21167,0.065,1196.0,18468.0
21169,0.064,528.0,8299.0
21171,0.081,740.0,9116.0
21173,0.066,1543.0,23417.0
21175,0.086,828.0,9640.0
21177,0.069,1583.0,23014.0
21179,0.054000000000000006,2124.0,39129.0
21181,0.071,458.0,6489.0
21183,0.079,1495.0,18988.0
21185,0.036000000000000004,2045.0,56101.0
21187,0.076,687.0,8991.0
21189,0.064,197.0,3085.0
21191,0.068,819.0,12054.0
21193,0.066,1454.0,21989.0
21195,0.07,3085.0,43783.0
21197,0.062,661.0,10600.0
21199,0.079,4128.0,52166.0
21201,0.067,114.0,1710.0
21203,0.068,881.0,12895.0
21205,0.062,1126.0,18248.0
21207,0.075,1069.0,14197.0
21209,0.045,2263.0,50598.0
21211,0.07,2787.0,39697.0
21213,0.059000000000000004,946.0,16097.0
21215,0.054000000000000006,922.0,17108.0
21217,0.064,1297.0,20352.0
21219,0.126,1289.0,10193.0
21221,0.083,915.0,11003.0
21223,0.067,471.0,7028.0
21225,0.069,702.0,10213.0
21227,0.092,10693.0,115783.0
21229,0.067,645.0,9657.0
21231,0.079,1173.0,14932.0
21233,0.092,921.0,10056.0
21235,0.067,1983.0,29414.0
21237,0.076,381.0,5042.0
21239,0.057999999999999996,1225.0,20974.0
22001,0.084,3928.0,46988.0
22003,0.07200000000000001,1161.0,16082.0
22005,0.065,7218.0,111429.0
