geoid,uninsured_pct,high_bp_pct,asthma_pct,no_check_up_pct,no_dental_visit_pct,diabetes_pct,high_cholesterol_pct
04013,13.0,29.700000000000003,10.05,72.65,61.95,10.1,34.75
04015,13.7,36.5,11.1,71.35,52.55,11.95,36.55
04017,13.3,38.0,13.7,69.85,50.150000000000006,13.7,33.0
04019,12.85,32.1,10.95,74.5,57.5,10.25,35.349999999999994
04021,13.85,33.900000000000006,10.850000000000001,74.05000000000001,56.45,11.9,37.4
04023,26.1,33.5,9.45,71.6,52.0,14.35,36.2
04025,11.2,32.5,10.9,73.35,60.95,10.05,35.6
04027,24.1,33.45,9.75,72.55000000000001,51.0,13.7,33.5
05001,11.45,42.349999999999994,10.7,79.44999999999999,48.3,13.649999999999999,36.1
05003,13.3,45.75,11.1,79.80000000000001,49.2,16.25,38.3
05005,10.35,41.6,10.35,79.35,53.75,12.65,35.95
05007,10.95,32.25,9.2,78.2,62.8,10.05,31.549999999999997
05009,9.75,37.650000000000006,10.3,77.75,54.55,11.75,36.7
05011,15.65,45.8,10.850000000000001,79.35,46.7,15.950000000000001,38.35
05013,10.55,42.0,10.350000000000001,78.8,51.2,12.95,37.25
05015,14.25,41.349999999999994,9.850000000000001,77.55,54.6,13.2,37.85
05017,14.8,49.55,11.1,80.44999999999999,41.9,18.3,37.95
05019,10.7,40.95,10.9,79.1,52.3,12.9,34.6
05021,11.3,40.05,10.45,76.85,49.3,12.6,37.400000000000006
05023,10.55,40.4,10.25,78.2,54.65,12.899999999999999,37.7
05025,10.45,42.95,10.55,78.3,48.0,13.3,36.900000000000006
05027,11.3,42.3,11.05,79.55,52.35,13.95,34.099999999999994
05029,11.5,43.65,10.649999999999999,78.1,48.05,14.0,37.8
05031,10.649999999999999,38.8,10.55,77.4,52.150000000000006,11.399999999999999,35.05
05033,11.85,39.65,10.3,77.19999999999999,54.3,11.95,37.9
05035,12.5,46.05,11.6,80.80000000000001,46.75,15.65,36.95
05037,12.45,44.0,10.95,78.44999999999999,49.75,14.75,37.25
05039,11.45,45.55,10.75,80.05,49.5,14.9,37.099999999999994
05041,16.4,49.75,11.850000000000001,80.19999999999999,40.599999999999994,19.15,38.3
05043,12.3,43.25,11.1,79.2,51.9,14.35,36.3
05045,9.2,35.7,10.149999999999999,77.45,59.849999999999994,10.850000000000001,34.900000000000006
05047,11.8,41.55,10.649999999999999,77.3,47.35,13.149999999999999,38.05
05049,11.75,44.35,10.7,78.6,44.099999999999994,14.75,38.85
05051,10.65,41.8,10.2,78.25,57.0,12.95,35.3
05053,9.5,37.7,9.95,76.95,54.65,10.9,36.5
05055,11.35,40.9,10.5,77.25,50.75,11.75,36.3
05057,14.55,43.35,10.75,78.5,50.150000000000006,15.100000000000001,36.2
05059,11.5,40.9,10.350000000000001,77.2,51.5,12.75,37.4
05061,12.8,41.65,10.649999999999999,78.45,53.9,13.85,36.2
05063,11.85,39.25,10.45,77.65,49.7,12.4,37.5
05065,12.2,43.55,10.4,77.65,51.8,13.95,37.95
05067,13.649999999999999,42.9,11.0,77.2,45.55,14.55,37.0
05069,12.3,49.05,11.25,81.44999999999999,46.45,16.35,36.7
05071,14.100000000000001,40.35,10.350000000000001,76.6,45.45,13.5,37.65
05073,14.6,48.25,11.5,79.45,42.75,17.950000000000003,38.8
05075,11.85,41.400000000000006,10.75,77.4,47.45,13.2,37.3
05077,15.9,49.75,11.0,79.05,40.85,18.4,36.900000000000006
05079,14.7,43.05,9.8,76.1,44.65,13.65,35.75
05081,11.100000000000001,43.0,10.75,78.80000000000001,53.25,14.05,37.15
05083,10.95,41.55,10.55,77.80000000000001,51.55,12.850000000000001,37.599999999999994
05085,9.95,37.75,10.3,77.85,57.1,10.7,37.0
05087,12.75,41.25,10.45,76.9,48.95,12.600000000000001,37.15
05089,11.05,40.7,10.45,77.80000000000001,53.7,13.75,38.4
05091,12.399999999999999,42.8,11.1,78.9,47.45,14.2,35.55
05093,12.7,44.9,11.1,79.1,45.7,14.3,35.25
05095,12.8,48.05,11.45,80.25,46.3,16.700000000000003,38.4
05097,11.45,42.599999999999994,10.5,78.75,51.25,13.899999999999999,40.099999999999994
