locationid,measureid,data_value
01079,CHECKUP,79.8
01021,ACCESS2,12.1
01009,CHECKUP,79.5
05029,HIGHCHOL,41.3
04012,HIGHCHOL,30.5
04001,CHECKUP,69.8
06031,DIABETES,12.1
05065,ACCESS2,11.8
05049,BPHIGH,39.6
01125,CASTHMA,10.3
05109,DIABETES,11.4
01081,DIABETES,12.5
05053,CASTHMA,9.9
02185,BPHIGH,35.3
05021,DENTAL,48.6
05147,DIABETES,13.7
05093,HIGHCHOL,32.9
02050,HIGHCHOL,30.0
05099,DENTAL,48.6
01091,DENTAL,49.8
01043,CASTHMA,9.9
05123,BPHIGH,46.6
02164,DENTAL,49.6
01073,DENTAL,58.2
06069,HIGHCHOL,31.2
04007,HIGHCHOL,40.6
06041,ACCESS2,5.5
06003,HIGHCHOL,30.1
05091,CHECKUP,78.0
01109,ACCESS2,10.3
02275,DIABETES,9.1
06001,DIABETES,10.1
04011,CASTHMA,10.1
04012,DIABETES,17.5
02122,BPHIGH,30.3
04009,ACCESS2,16.0
02020,CHECKUP,70.7
06053,CHECKUP,71.6
01029,DIABETES,14.6
01105,CASTHMA,12.2
01123,BPHIGH,40.8
02198,DENTAL,52.3
01115,DENTAL,61.0
01045,BPHIGH,40.5
05017,DIABETES,20.5
05119,DENTAL,58.8
59,DENTAL,63.4
05063,CASTHMA,10.5
05037,HIGHCHOL,34.1
05037,CHECKUP,77.3
01069,DENTAL,53.0
06037,DENTAL,62.0
01093,DENTAL,53.8
02060,DIABETES,11.3
01109,DIABETES,14.1
01049,BPHIGH,40.0
06051,ACCESS2,8.2
04007,DENTAL,51.5
02070,ACCESS2,13.4
05047,DIABETES,11.7
05025,HIGHCHOL,40.7
05141,HIGHCHOL,43.5
01123,DENTAL,56.0
01011,CASTHMA,11.5
02290,DIABETES,16.5
05061,ACCESS2,13.1
05041,ACCESS2,16.8
05103,HIGHCHOL,40.9
01095,HIGHCHOL,36.8
01097,HIGHCHOL,40.2
04005,DENTAL,60.3
05147,ACCESS2,13.3
05013,ACCESS2,10.2
02016,BPHIGH,30.7
01103,CASTHMA,9.9
05029,DENTAL,47.5
01083,DIABETES,10.9
01033,CASTHMA,10.4
04013,CHECKUP,73.3
05057,CASTHMA,10.8
06065,DIABETES,11.3
05073,BPHIGH,52.6
05145,HIGHCHOL,34.2
05095,DENTAL,46.7
02195,HIGHCHOL,30.2
01025,ACCESS2,11.0
05115,HIGHCHOL,33.9
01071,CASTHMA,10.4
02150,CHECKUP,67.1
01039,DIABETES,16.3
05107,DIABETES,21.7
01007,ACCESS2,13.0
01117,CASTHMA,9.4
01099,ACCESS2,12.8
05089,DIABETES,11.1
02230,ACCESS2,10.0
02063,CHECKUP,68.2
01085,CASTHMA,11.8
05013,DENTAL,52.6
06005,HIGHCHOL,38.9
01087,BPHIGH,48.4
01015,BPHIGH,44.8
01085,DIABETES,19.4
02090,DENTAL,63.2
01005,CASTHMA,10.9
04027,CASTHMA,9.7
01071,ACCESS2,11.2
06011,DENTAL,56.1
06061,CASTHMA,10.0
02220,CHECKUP,69.0
01027,CHECKUP,80.7
01119,HIGHCHOL,35.7
02050,ACCESS2,15.9
02240,CHECKUP,64.2
04003,BPHIGH,39.0
06001,ACCESS2,7.1
04012,ACCESS2,18.1
05097,CHECKUP,76.2
02090,CHECKUP,65.8
05059,DENTAL,51.2
05045,CHECKUP,77.4
02240,CASTHMA,10.1
05011,CHECKUP,78.0
04015,HIGHCHOL,41.9
05067,DENTAL,45.3
06029,CASTHMA,10.3
01007,DENTAL,51.2
05017,ACCESS2,14.3
06049,DENTAL,61.8
05069,DIABETES,15.1
04011,BPHIGH,29.8
01019,BPHIGH,45.9
05061,BPHIGH,44.3
05067,DENTAL,45.8
05009,DENTAL,55.5
02060,ACCESS2,9.8
01007,DIABETES,13.9
01115,HIGHCHOL,42.7
01023,BPHIGH,52.7
02013,CHECKUP,64.6
01133,ACCESS2,11.7
01077,DIABETES,12.9
05145,CASTHMA,10.6
06021,CHECKUP,71.3
05113,CASTHMA,10.6
01049,CHECKUP,76.0
06047,CHECKUP,69.3
01011,ACCESS2,17.7
05007,DENTAL,62.8
05065,DIABETES,15.9
01083,DENTAL,60.2
01061,DENTAL,54.8
01017,HIGHCHOL,41.8
06037,HIGHCHOL,33.5
02230,DIABETES,7.8
06013,CHECKUP,72.7
06017,DIABETES,10.8
06025,BPHIGH,32.5
01015,HIGHCHOL,35.4
01057,HIGHCHOL,35.8
05057,DIABETES,16.6
01087,CHECKUP,82.2
02060,CASTHMA,11.1
06011,DIABETES,12.2
05051,BPHIGH,37.8
05117,DENTAL,52.0
04005,ACCESS2,10.4
05137,HIGHCHOL,34.2
01075,DENTAL,55.1
01033,CHECKUP,77.9
04021,BPHIGH,31.6
05015,CHECKUP,79.6
06055,BPHIGH,33.0
01099,DIABETES,15.6
01069,DIABETES,13.1
02275,CASTHMA,11.0
06043,DIABETES,9.4
05091,CASTHMA,11.1
04027,CHECKUP,71.4
02290,HIGHCHOL,31.9
05045,DIABETES,10.9
01091,DIABETES,19.8
05003,HIGHCHOL,34.4
01035,BPHIGH,46.5
04023,CHECKUP,70.2
05011,CASTHMA,10.8
01045,HIGHCHOL,42.1
04013,BPHIGH,30.8
05127,DIABETES,11.7
04003,CHECKUP,75.3
05053,CHECKUP,78.2
