NAME,B19013_001E,B27001_001E,B01003_001E,state,county
"Stafford County, Virginia",137807,157011,163466,51,179
"Surry County, Virginia",78041,6540,6549,51,181
"Sussex County, Virginia",63530,9162,10765,51,183
"Tazewell County, Virginia",47313,38135,39624,51,185
"Warren County, Virginia",84682,41066,41531,51,187
"Washington County, Virginia",64552,53393,53926,51,191
"Westmoreland County, Virginia",63398,18587,18826,51,193
"Wise County, Virginia",52943,33038,35448,51,195
"Wythe County, Virginia",57745,27958,28188,51,197
"York County, Virginia",109956,66237,71005,51,199
"Alexandria city, Virginia",119681,152743,156976,51,510
"Bristol city, Virginia",50404,16577,16849,51,520
"Buena Vista city, Virginia",57833,6546,6593,51,530
"Charlottesville city, Virginia",74824,45134,45437,51,540
"Chesapeake city, Virginia",95373,240988,252583,51,550
"Colonial Heights city, Virginia",76505,18087,18352,51,570
"Covington city, Virginia",41944,5599,5680,51,580
"Danville city, Virginia",44423,41164,42214,51,590
"Emporia city, Virginia",51899,5355,5547,51,595
"Fairfax city, Virginia",132348,24615,25026,51,600
"Falls Church city, Virginia",143262,14526,14710,51,610
"Franklin city, Virginia",63245,8119,8250,51,620
"Fredericksburg city, Virginia",86071,28761,28873,51,630
"Galax city, Virginia",38675,6515,6726,51,640
"Hampton city, Virginia",69621,130713,137557,51,650
"Harrisonburg city, Virginia",62254,50750,51392,51,660
"Hopewell city, Virginia",54729,22570,22959,51,670
"Lexington city, Virginia",84517,7457,7525,51,678
"Lynchburg city, Virginia",57947,77866,79497,51,680
"Manassas city, Virginia",113590,42862,42976,51,683
"Manassas Park city, Virginia",103250,16689,16798,51,685
"Martinsville city, Virginia",46727,13244,13658,51,690
"Newport News city, Virginia",69634,174548,184216,51,700
"Norfolk city, Virginia",66109,207483,233596,51,710
"Norton city, Virginia",41495,3539,3577,51,720
"Petersburg city, Virginia",50698,32782,33537,51,730
"Poquoson city, Virginia",120972,12433,12639,51,735
"Portsmouth city, Virginia",60491,91870,97190,51,740
"Radford city, Virginia",57348,16528,16726,51,750
"Richmond city, Virginia",64587,226958,229359,51,760
"Roanoke city, Virginia",55378,96802,98355,51,770
"Salem city, Virginia",66725,24854,25618,51,775
"Staunton city, Virginia",65581,25031,25948,51,790
"Suffolk city, Virginia",92666,94841,98796,51,800
"Virginia Beach city, Virginia",92968,431712,456349,51,810
"Waynesboro city, Virginia",59994,22606,22841,51,820
"Williamsburg city, Virginia",75604,15555,15798,51,830
"Winchester city, Virginia",63974,27650,27913,51,840
"Adams County, Washington",66136,20628,20800,53,001
"Asotin County, Washington",72283,22242,22467,53,003
"Benton County, Washington",89874,211519,212905,53,005
"Chelan County, Washington",82381,79438,80172,53,007
"Clallam County, Washington",70370,76445,77813,53,009
"Clark County, Washington",97536,514150,516959,53,011
"Columbia County, Washington",71810,3983,4014,53,013
"Cowlitz County, Washington",76531,111658,112360,53,015
"Douglas County, Washington",80363,44259,44366,53,017
"Ferry County, Washington",55614,7326,7387,53,019
"Franklin County, Washington",86714,96671,98902,53,021
"Garfield County, Washington",64884,2326,2353,53,023
"Grant County, Washington",73267,101372,101799,53,025
"Grays Harbor County, Washington",64414,74588,77053,53,027
"Island County, Washington",90551,79643,86836,53,029
"Jefferson County, Washington",74048,33036,33577,53,031
"King County, Washington",124746,2273752,2287171,53,033
"Kitsap County, Washington",104158,263432,277881,53,035
"Kittitas County, Washington",73804,46885,47172,53,037
"Klickitat County, Washington",71042,23381,23411,53,039
"Lewis County, Washington",74796,84480,85154,53,041
"Lincoln County, Washington",71512,11374,11489,53,043
"Mason County, Washington",83270,66394,67982,53,045
"Okanogan County, Washington",63207,42883,43425,53,047
"Pacific County, Washington",67081,23773,23994,53,049
"Pend Oreille County, Washington",67436,13957,14050,53,051
"Pierce County, Washington",99564,899694,930319,53,053
"San Juan County, Washington",84800,18407,18478,53,055
"Skagit County, Washington",89263,129654,131328,53,057
"Skamania County, Washington",93265,12358,12402,53,059
"Snohomish County, Washington",111246,835815,844430,53,061
"Spokane County, Washington",78582,539679,549056,53,063
"Stevens County, Washington",69327,47854,48067,53,065
"Thurston County, Washington",96563,290554,299067,53,067
"Wahkiakum County, Washington",62653,4641,4658,53,069
"Walla Walla County, Washington",74202,59385,62161,53,071
"Whatcom County, Washington",81784,228886,230503,53,073
"Whitman County, Washington",55406,46604,47003,53,075
"Yakima County, Washington",70656,254978,257152,53,077
"Barbour County, West Virginia",51394,15285,15424,54,001
"Berkeley County, West Virginia",80815,128261,129514,54,003
"Boone County, West Virginia",57093,20822,21026,54,005
"Braxton County, West Virginia",50331,11755,12208,54,007
"Brooke County, West Virginia",54316,21591,21805,54,009
"Cabell County, West Virginia",55832,90857,92739,54,011
"Calhoun County, West Virginia",43980,6024,6048,54,013
"Clay County, West Virginia",42318,7740,7835,54,015
"Doddridge County, West Virginia",57401,6637,7711,54,017
"Fayette County, West Virginia",53194,38411,39519,54,019
"Gilmer County, West Virginia",47981,5592,7288,54,021
"Grant County, West Virginia",62361,10853,10983,54,023
"Greenbrier County, West Virginia",48218,31839,32386,54,025
"Hampshire County, West Virginia",63116,22962,23465,54,027
"Hancock County, West Virginia",61466,28127,28431,54,029
"Hardy County, West Virginia",49272,14186,14243,54,031
"Harrison County, West Virginia",60377,64247,64984,54,033
"Jackson County, West Virginia",58845,27513,27705,54,035
"Jefferson County, West Virginia",98806,58926,59260,54,037
"Kanawha County, West Virginia",60943,174472,176537,54,039
"Lewis County, West Virginia",56477,16594,16740,54,041
"Lincoln County, West Virginia",46205,19836,19902,54,043
"Logan County, West Virginia",49723,30663,31418,54,045
"McDowell County, West Virginia",31559,15798,17943,54,047
"Marion County, West Virginia",67370,55425,55909,54,049
"Marshall County, West Virginia",59169,29194,29865,54,051
"Mason County, West Virginia",49761,24504,25043,54,053
"Mercer County, West Virginia",53210,57957,58563,54,055
"Mineral County, West Virginia",69375,26650,26854,54,057
"Mingo County, West Virginia",38119,22469,22542,54,059
"Monongalia County, West Virginia",65346,105993,107163,54,061
"Monroe County, West Virginia",56750,12280,12386,54,063
"Morgan County, West Virginia",72179,17251,17426,54,065
"Nicholas County, West Virginia",54639,24157,24277,54,067
"Ohio County, West Virginia",57094,41102,41582,54,069
"Pendleton County, West Virginia",64931,5958,6043,54,071
"Pleasants County, West Virginia",60932,7122,7521,54,073
"Pocahontas County, West Virginia",42119,7430,7784,54,075
"Preston County, West Virginia",61880,30367,34160,54,077
"Putnam County, West Virginia",79527,56504,57177,54,079
"Raleigh County, West Virginia",52150,70360,73195,54,081
"Randolph County, West Virginia",52757,25501,27576,54,083
"Ritchie County, West Virginia",50582,8250,8286,54,085
"Roane County, West Virginia",45778,13587,13786,54,087
"Summers County, West Virginia",40699,10886,11729,54,089
"Taylor County, West Virginia",57795,16074,16487,54,091
"Tucker County, West Virginia",53358,6516,6654,54,093
"Tyler County, West Virginia",63693,7992,8064,54,095
"Upshur County, West Virginia",54338,23480,23712,54,097
"Wayne County, West Virginia",58878,38052,38164,54,099
"Webster County, West Virginia",43839,8083,8144,54,101
"Wetzel County, West Virginia",56836,13988,14078,54,103
"Wirt County, West Virginia",49867,5053,5053,54,105
"Wood County, West Virginia",57810,82487,83407,54,107
"Wyoming County, West Virginia",48440,20572,20629,54,109
"Adams County, Wisconsin",59442,20473,21123,55,001
"Ashland County, Wisconsin",62462,15853,16080,55,003
"Barron County, Wisconsin",65933,46345,46797,55,005
"Bayfield County, Wisconsin",71151,16464,16575,55,007
"Brown County, Wisconsin",79649,268399,270892,55,009
"Buffalo County, Wisconsin",70479,13340,13393,55,011
"Burnett County, Wisconsin",62819,16835,16916,55,013
"Calumet County, Wisconsin",88810,52784,52942,55,015
"Chippewa County, Wisconsin",74680,64362,66799,55,017
"Clark County, Wisconsin",67400,34345,34739,55,019
"Columbia County, Wisconsin",85351,56855,58272,55,021
"Crawford County, Wisconsin",64094,15239,16042,55,023
"Dane County, Wisconsin",89975,568974,572674,55,025
"Dodge County, Wisconsin",75929,84464,88742,55,027
"Door County, Wisconsin",74795,30177,30445,55,029
"Douglas County, Wisconsin",75099,43551,44229,55,031
"Dunn County, Wisconsin",74824,45215,45527,55,033
"Eau Claire County, Wisconsin",74546,106453,107116,55,035
"Florence County, Wisconsin",61086,4592,4646,55,037
"Fond du Lac County, Wisconsin",74275,102457,104137,55,039
"Forest County, Wisconsin",61071,9212,9369,55,041
"Grant County, Wisconsin",66858,50738,51770,55,043
"Green County, Wisconsin",82852,36732,37017,55,045
"Green Lake County, Wisconsin",68196,19100,19263,55,047
"Iowa County, Wisconsin",82182,23730,23867,55,049
"Iron County, Wisconsin",60625,6111,6210,55,051
"Jackson County, Wisconsin",68110,19850,20981,55,053
"Jefferson County, Wisconsin",83750,85635,86003,55,055
"Juneau County, Wisconsin",67270,25340,26689,55,057
"Kenosha County, Wisconsin",81239,167039,168438,55,059
"Kewaunee County, Wisconsin",82725,20561,20664,55,061
"La Crosse County, Wisconsin",73013,119467,120488,55,063
"Lafayette County, Wisconsin",76462,16884,16942,55,065
"Langlade County, Wisconsin",55878,19247,19490,55,067
"Lincoln County, Wisconsin",68164,27996,28426,55,069
"Manitowoc County, Wisconsin",69148,80707,81406,55,071
"Marathon County, Wisconsin",77884,137350,138403,55,073
"Marinette County, Wisconsin",63809,41542,42046,55,075
"Marquette County, Wisconsin",65681,15680,15746,55,077
"Menominee County, Wisconsin",62108,4229,4252,55,078
"Milwaukee County, Wisconsin",64435,919525,926331,55,079
"Monroe County, Wisconsin",69467,45403,46208,55,081
"Oconto County, Wisconsin",75049,39269,39589,55,083
"Oneida County, Wisconsin",69371,37696,38167,55,085
"Outagamie County, Wisconsin",85069,191412,192826,55,087
"Ozaukee County, Wisconsin",96996,92473,92966,55,089
"Pepin County, Wisconsin",75256,7372,7431,55,091
"Pierce County, Wisconsin",92109,42278,42584,55,093
"Polk County, Wisconsin",77219,45177,45555,55,095
"Portage County, Wisconsin",76070,70661,70832,55,097
"Price County, Wisconsin",60546,13967,14092,55,099
"Racine County, Wisconsin",78096,193106,197532,55,101
"Richland County, Wisconsin",66420,17080,17205,55,103
"Rock County, Wisconsin",75673,163301,164350,55,105
"Rusk County, Wisconsin",59944,14025,14179,55,107
"St. Croix County, Wisconsin",103046,95339,96033,55,109
"Sauk County, Wisconsin",79541,65491,66009,55,111
"Sawyer County, Wisconsin",60801,18080,18476,55,113
"Shawano County, Wisconsin",66479,40564,41039,55,115
"Sheboygan County, Wisconsin",73094,115632,117991,55,117
"Taylor County, Wisconsin",69350,19881,20024,55,119
"Trempealeau County, Wisconsin",76313,30517,30839,55,121
"Vernon County, Wisconsin",71893,30807,31049,55,123
"Vilas County, Wisconsin",68431,23492,23647,55,125
"Walworth County, Wisconsin",80520,104916,105657,55,127
"Washburn County, Wisconsin",63441,16714,16854,55,129
"Washington County, Wisconsin",96359,137336,137879,55,131
"Waukesha County, Wisconsin",106076,409561,411762,55,133
"Waupaca County, Wisconsin",72830,50547,51569,55,135
"Waushara County, Wisconsin",67107,23990,24868,55,137
"Winnebago County, Wisconsin",74925,167797,171769,55,139
"Wood County, Wisconsin",67989,73543,74004,55,141
"Albany County, Wyoming",61917,37842,38249,56,001
"Big Horn County, Wyoming",62101,11545,11828,56,003
"Campbell County, Wyoming",89869,46593,47240,56,005
"Carbon County, Wyoming",70511,13875,14463,56,007
"Converse County, Wyoming",81558,13587,13762,56,009
"Crook County, Wyoming",79637,7410,7455,56,011
"Fremont County, Wyoming",64904,38954,39533,56,013
"Goshen County, Wyoming",58929,11886,12605,56,015
"Hot Springs County, Wyoming",61250,4538,4620,56,017
"Johnson County, Wyoming",64871,8572,8686,56,019
"Laramie County, Wyoming",80173,97367,101060,56,021
"Lincoln County, Wyoming",89330,20410,20486,56,023
"Natrona County, Wyoming",72156,79050,79977,56,025
"Niobrara County, Wyoming",64113,2154,2368,56,027
"Park County, Wyoming",73035,30209,30449,56,029
"Platte County, Wyoming",67718,8512,8612,56,031
"Sheridan County, Wyoming",71388,31697,32055,56,033
"Sublette County, Wyoming",83597,8796,8838,56,035
"Sweetwater County, Wyoming",75034,41218,41542,56,037
"Teton County, Wyoming",124172,23315,23396,56,039
"Uinta County, Wyoming",82980,20483,20644,56,041
"Washakie County, Wyoming",65714,7563,7703,56,043
"Weston County, Wyoming",89509,6435,6826,56,045
"Adjuntas Municipio, Puerto Rico",19549,17925,17960,72,001
"Aguada Municipio, Puerto Rico",21501,37602,37758,72,003
"Aguadilla Municipio, Puerto Rico",21540,53430,54137,72,005
"Aguas Buenas Municipio, Puerto Rico",23072,23525,23614,72,007
"Aibonito Municipio, Puerto Rico",21744,24604,24636,72,009
"Añasco Municipio, Puerto Rico",24436,24978,25094,72,011
"Arecibo Municipio, Puerto Rico",23635,85188,86467,72,013
"Arroyo Municipio, Puerto Rico",21186,15203,15341,72,015
"Barceloneta Municipio, Puerto Rico",24508,22388,22494,72,017
"Barranquitas Municipio, Puerto Rico",23407,28964,29054,72,019
"Bayamón Municipio, Puerto Rico",31354,178116,182469,72,021
"Cabo Rojo Municipio, Puerto Rico",26408,46693,46876,72,023
"Caguas Municipio, Puerto Rico",31379,124961,125586,72,025
"Camuy Municipio, Puerto Rico",27411,32622,32734,72,027
"Canóvanas Municipio, Puerto Rico",29642,41748,41816,72,029
"Carolina Municipio, Puerto Rico",36958,151254,152204,72,031
"Cataño Municipio, Puerto Rico",25508,22418,22467,72,033
"Cayey Municipio, Puerto Rico",30129,40817,40917,72,035
"Ceiba Municipio, Puerto Rico",25454,10953,10995,72,037
"Ciales Municipio, Puerto Rico",22586,16783,16805,72,039
"Cidra Municipio, Puerto Rico",29246,39456,39643,72,041
"Coamo Municipio, Puerto Rico",22045,33844,33998,72,043
"Comerío Municipio, Puerto Rico",17134,18670,18711,72,045
"Corozal Municipio, Puerto Rico",23797,34312,34444,72,047
"Culebra Municipio, Puerto Rico",29630,1387,1387,72,049
"Dorado Municipio, Puerto Rico",36391,35600,35810,72,051
"Fajardo Municipio, Puerto Rico",25563,31317,31489,72,053
"Florida Municipio, Puerto Rico",22332,11494,11532,72,054
"Guánica Municipio, Puerto Rico",17633,12846,12855,72,055
"Guayama Municipio, Puerto Rico",20402,33650,35298,72,057
"Guayanilla Municipio, Puerto Rico",23915,17098,17141,72,059
"Guaynabo Municipio, Puerto Rico",46731,87818,89378,72,061
"Gurabo Municipio, Puerto Rico",42216,39924,40228,72,063
"Hatillo Municipio, Puerto Rico",28146,38013,38157,72,065
"Hormigueros Municipio, Puerto Rico",26828,15285,15441,72,067
"Humacao Municipio, Puerto Rico",27038,49797,50100,72,069
"Isabela Municipio, Puerto Rico",23266,42552,42890,72,071
"Jayuya Municipio, Puerto Rico",21796,14526,14566,72,073
"Juana Díaz Municipio, Puerto Rico",24852,45637,46156,72,075
"Juncos Municipio, Puerto Rico",29863,36692,36829,72,077
"Lajas Municipio, Puerto Rico",19695,22958,23035,72,079
"Lares Municipio, Puerto Rico",18917,27579,27855,72,081
"Las Marías Municipio, Puerto Rico",16314,8659,8744,72,083
"Las Piedras Municipio, Puerto Rico",25232,34824,34951,72,085
"Loíza Municipio, Puerto Rico",24272,22740,22768,72,087
"Luquillo Municipio, Puerto Rico",24225,17505,17532,72,089
"Manatí Municipio, Puerto Rico",22683,38721,38943,72,091
"Maricao Municipio, Puerto Rico",21302,4988,4988,72,093
"Maunabo Municipio, Puerto Rico",18045,10387,10399,72,095
"Mayagüez Municipio, Puerto Rico",18295,69928,70828,72,097
"Moca Municipio, Puerto Rico",23586,37154,37424,72,099
"Morovis Municipio, Puerto Rico",25003,28353,28397,72,101
"Naguabo Municipio, Puerto Rico",23395,22933,23054,72,103
"Naranjito Municipio, Puerto Rico",22156,29226,29310,72,105
"Orocovis Municipio, Puerto Rico",20302,21210,21309,72,107
"Patillas Municipio, Puerto Rico",24396,15517,15563,72,109
"Peñuelas Municipio, Puerto Rico",22697,19839,19853,72,111
"Ponce Municipio, Puerto Rico",19877,129456,132760,72,113
"Quebradillas Municipio, Puerto Rico",24640,23347,23409,72,115
"Rincón Municipio, Puerto Rico",24447,15341,15378,72,117
"Río Grande Municipio, Puerto Rico",28943,45603,46051,72,119
"Sabana Grande Municipio, Puerto Rico",22065,22284,22407,72,121
"Salinas Municipio, Puerto Rico",21901,24944,25079,72,123
"San Germán Municipio, Puerto Rico",18317,31106,31305,72,125
"San Juan Municipio, Puerto Rico",27992,333456,336160,72,127
"San Lorenzo Municipio, Puerto Rico",22847,37310,37431,72,129
"San Sebastián Municipio, Puerto Rico",19920,38880,39088,72,131
"Santa Isabel Municipio, Puerto Rico",25795,19821,19903,72,133
"Toa Alta Municipio, Puerto Rico",35241,65981,66320,72,135
"Toa Baja Municipio, Puerto Rico",32017,72663,73039,72,137
"Trujillo Alto Municipio, Puerto Rico",40055,66698,67088,72,139
"Utuado Municipio, Puerto Rico",20800,27583,27621,72,141
"Vega Alta Municipio, Puerto Rico",25538,34753,34921,72,143
"Vega Baja Municipio, Puerto Rico",24244,53708,53892,72,145
"Vieques Municipio, Puerto Rico",19803,8078,8078,72,147
"Villalba Municipio, Puerto Rico",26286,21393,21556,72,149
"Yabucoa Municipio, Puerto Rico",22944,29321,29400,72,151
"Yauco Municipio, Puerto Rico",24255,32755,32993,72,153
