NAME,B19013_001E,B27001_001E,B01003_001E,state,county
"Marshall County, Tennessee",71049,35785,36049,47,117
"Maury County, Tennessee",76130,106746,107791,47,119
"Meigs County, Tennessee",61375,13240,13343,47,121
"Monroe County, Tennessee",56895,47236,47695,47,123
"Montgomery County, Tennessee",75613,219803,234153,47,125
"Moore County, Tennessee",66469,6585,6674,47,127
"Morgan County, Tennessee",65954,19279,21361,47,129
"Obion County, Tennessee",54613,30148,30453,47,131
"Overton County, Tennessee",48959,22866,23065,47,133
"Perry County, Tennessee",55972,8547,8697,47,135
"Pickett County, Tennessee",49030,5019,5079,47,137
"Polk County, Tennessee",62522,17692,17898,47,139
"Putnam County, Tennessee",58912,81753,82558,47,141
"Rhea County, Tennessee",55033,33793,33992,47,143
"Roane County, Tennessee",71885,54851,55208,47,145
"Robertson County, Tennessee",83047,74828,75539,47,147
"Rutherford County, Tennessee",85470,358593,360646,47,149
"Scott County, Tennessee",44711,21853,22113,47,151
"Sequatchie County, Tennessee",58750,16574,16809,47,153
"Sevier County, Tennessee",62581,98876,99652,47,155
"Shelby County, Tennessee",63767,907880,919173,47,157
"Smith County, Tennessee",66293,20222,20389,47,159
"Stewart County, Tennessee",63114,13878,14027,47,161
"Sullivan County, Tennessee",58807,158845,160624,47,163
"Sumner County, Tennessee",90301,202751,204424,47,165
"Tipton County, Tennessee",74127,60761,61553,47,167
"Trousdale County, Tennessee",72747,9477,11957,47,169
"Unicoi County, Tennessee",52218,17443,17756,47,171
"Union County, Tennessee",62727,20283,20431,47,173
"Van Buren County, Tennessee",54931,6354,6437,47,175
"Warren County, Tennessee",55487,41721,42166,47,177
"Washington County, Tennessee",62809,134812,136261,47,179
"Wayne County, Tennessee",52294,14420,16168,47,181
"Weakley County, Tennessee",51880,32591,33016,47,183
"White County, Tennessee",52188,27842,28160,47,185
"Williamson County, Tennessee",135594,259519,260351,47,187
"Wilson County, Tennessee",95839,157626,158805,47,189
"Anderson County, Texas",62068,48174,58439,48,001
"Andrews County, Texas",72242,18419,18610,48,003
"Angelina County, Texas",60960,85235,87275,48,005
"Aransas County, Texas",69466,24669,24876,48,007
"Archer County, Texas",72159,8801,8867,48,009
"Armstrong County, Texas",72750,1771,1822,48,011
"Atascosa County, Texas",70770,50412,51008,48,013
"Austin County, Texas",75789,30945,31170,48,015
"Bailey County, Texas",61420,6762,6913,48,017
"Bandera County, Texas",75813,21885,22021,48,019
"Bastrop County, Texas",86226,103684,106582,48,021
"Baylor County, Texas",45370,3415,3485,48,023
"Bee County, Texas",57673,24362,31083,48,025
"Bell County, Texas",68865,362876,386897,48,027
"Bexar County, Texas",72341,2023493,2067341,48,029
"Blanco County, Texas",92425,12321,12446,48,031
"Borden County, Texas",65625,713,713,48,033
"Bosque County, Texas",68914,18337,18687,48,035
"Bowie County, Texas",59803,86531,92115,48,037
"Brazoria County, Texas",97993,378252,391255,48,039
"Brazos County, Texas",58553,238575,242311,48,041
"Brewster County, Texas",56212,9441,9503,48,043
"Briscoe County, Texas",45417,1301,1301,48,045
"Brooks County, Texas",47764,6624,6943,48,047
"Brown County, Texas",57470,37270,38347,48,049
"Burleson County, Texas",70000,18659,18857,48,051
"Burnet County, Texas",78732,51693,52652,48,053
"Caldwell County, Texas",69758,46674,48669,48,055
"Calhoun County, Texas",79959,19618,19868,48,057
"Callahan County, Texas",72436,14129,14241,48,059
"Cameron County, Texas",52601,423712,426120,48,061
"Camp County, Texas",58843,12727,12798,48,063
"Carson County, Texas",85231,5754,5801,48,065
"Cass County, Texas",53813,28225,28568,48,067
"Castro County, Texas",56776,7232,7344,48,069
"Chambers County, Texas",109804,51091,51498,48,071
"Cherokee County, Texas",61261,48845,51886,48,073
"Childress County, Texas",58654,5311,6743,48,075
"Clay County, Texas",80114,10404,10495,48,077
