Bldg County,Lease Annual Rent Amount,Lease ANSI Rentable Sqft,Average Rent per Sqft
VICTORIA,67535.9,1455.0,46.41642611683849
WAKE,163009.39,5445.75,29.93332231556719
WARD,77655.97,3296.0,23.56067050970874
WASHINGTON,292991.204,9675.2,30.282702579791632
WASHOE,168411.905,5368.0,31.373305700447094
WAYNE,635277.9149999999,9992.666666666666,63.5744127360064
WEBB,906346.9646153846,23187.30769230769,39.08806389437192
WEBER,2298271.995,78523.0,29.268774690218155
WEBSTER,11606.0,285.75,40.6159230096238
WESTCHESTER,644250.39,19469.0,33.09108788330166
WESTMORELAND,19131.48,774.0,24.717674418604652
WHATCOM,171133.31,7038.5,24.313889323009164
WICOMICO,37840.78,2384.0,15.872810402684562
WILLIAMSON,28220.18,820.0,34.414853658536586
WOOD,35000.0,893.9,39.15426781519186
WOODBURY,69275.26,3166.2,21.879622260122545
WRANGELL,53115.65,1343.0,39.550000000000004
YAKIMA,391567.08,14353.5,27.280250809906992
YAVAPAI,326567.49,9340.0,34.964399357601714
YELLOWSTONE,67538.01,3450.0,19.576234782608694
YUMA,123878.48,4541.0,27.279999999999998
