,geoid,uninsured_rate,uninsured_count,total_population
179,5135,0.109,1442.0,13230.0
180,5137,0.115,1040.0,9022.0
181,5139,0.088,2632.0,29754.0
182,5141,0.104,1229.0,11814.0
183,5143,0.14,30211.0,215891.0
184,5145,0.1009999999999999,6340.0,62631.0
185,5147,0.09,405.0,4479.0
186,5149,0.119,1950.0,16359.0
187,6001,0.045,60917.0,1355163.0
188,6003,0.06,51.0,846.0
189,6005,0.057,1503.0,26233.0
190,6007,0.076,12627.0,166896.0
191,6009,0.069,2303.0,33207.0
192,6011,0.098,1777.0,18178.0
193,6013,0.052,50322.0,960304.0
194,6015,0.08,1540.0,19152.0
195,6017,0.052,7688.0,148696.0
196,6019,0.077,66200.0,864015.0
197,6021,0.092,2123.0,23188.0
198,6023,0.07,7395.0,106307.0
199,6025,0.086,12474.0,145123.0
200,6027,0.073,1001.0,13634.0
201,6029,0.077,60371.0,781035.0
202,6031,0.073,8791.0,120533.0
203,6033,0.075,3874.0,51608.0
204,6035,0.06,1108.0,18576.0
205,6037,0.094,760462.0,8106974.0
206,6039,0.096,12452.0,130029.0
207,6041,0.051,9825.0,192444.0
208,6043,0.067,795.0,11827.0
209,6045,0.103,6918.0,67044.0
210,6047,0.086,21496.0,248966.0
211,6049,0.08,472.0,5900.0
212,6051,0.103,1073.0,10449.0
213,6053,0.1159999999999999,41184.0,353909.0
214,6055,0.074,7727.0,105010.0
215,6057,0.062,4508.0,72567.0
216,6059,0.073,191138.0,2607533.0
217,6061,0.037,12483.0,335108.0
218,6063,0.062,816.0,13201.0
219,6065,0.083,172350.0,2066437.0
220,6067,0.054,71621.0,1333668.0
221,6069,0.068,3949.0,58353.0
222,6071,0.087,163723.0,1876899.0
223,6073,0.073,196679.0,2703245.0
224,6075,0.042,27405.0,658480.0
225,6077,0.076,51714.0,676646.0
226,6079,0.072,14912.0,208065.0
227,6081,0.046,27705.0,597006.0
228,6083,0.092,32699.0,355387.0
229,6085,0.0409999999999999,63449.0,1564953.0
230,6087,0.065,13488.0,207659.0
231,6089,0.075,10594.0,141828.0
232,6091,0.063,139.0,2189.0
233,6093,0.0819999999999999,2561.0,31380.0
234,6095,0.0559999999999999,20442.0,365342.0
235,6097,0.067,25040.0,375956.0
236,6099,0.071,33599.0,472685.0
237,6101,0.088,7166.0,81863.0
238,6103,0.072,3734.0,51552.0
239,6105,0.06,654.0,10903.0
240,6107,0.092,38342.0,414592.0
241,6109,0.057,2103.0,37165.0
242,6111,0.085,58034.0,684652.0
243,6113,0.0559999999999999,10200.0,182314.0
244,6115,0.066,4741.0,72267.0
245,8001,0.114,52776.0,463570.0
246,8003,0.108,1416.0,13131.0
247,8005,0.098,54863.0,560049.0
248,8007,0.108,1078.0,9969.0
249,8009,0.091,232.0,2543.0
250,8011,0.079,246.0,3112.0
251,8013,0.059,15576.0,264575.0
252,8014,0.0409999999999999,2643.0,64916.0
253,8015,0.099,1363.0,13829.0
254,8017,0.09,120.0,1327.0
255,8019,0.067,487.0,7224.0
256,8021,0.091,533.0,5876.0
257,8023,0.111,281.0,2523.0
258,8025,0.089,210.0,2350.0
259,8027,0.0819999999999999,288.0,3516.0
260,8029,0.12,2672.0,22244.0
261,8031,0.085,52524.0,617772.0
262,8033,0.078,143.0,1832.0
263,8035,0.04,12997.0,328838.0
264,8037,0.118,5553.0,47187.0
265,8039,0.072,1630.0,22724.0
266,8041,0.0819999999999999,51062.0,623024.0
267,8043,0.087,2663.0,30565.0
268,8045,0.141,7349.0,52169.0
269,8047,0.05,234.0,4695.0
270,8049,0.103,1281.0,12488.0
271,8051,0.069,957.0,13841.0
272,8053,0.1369999999999999,71.0,518.0
273,8055,0.093,446.0,4793.0
274,8057,0.171,164.0,958.0
275,8059,0.063,29694.0,470988.0
276,8061,0.066,69.0,1048.0
277,8063,0.129,697.0,5403.0
278,8065,0.131,799.0,6087.0
279,8067,0.104,4442.0,42747.0
280,8069,0.072,21445.0,296734.0
281,8071,0.111,1124.0,10113.0
282,8073,0.08,293.0,3668.0
283,8075,0.103,1464.0,14175.0
284,8077,0.099,12062.0,121565.0
285,8079,0.084,54.0,646.0
286,8081,0.1009999999999999,1090.0,10798.0
287,8083,0.124,2355.0,19026.0
288,8085,0.134,4289.0,32106.0
289,8087,0.134,3234.0,24112.0
290,8089,0.1,1397.0,13989.0
291,8091,0.0579999999999999,204.0,3503.0
292,8093,0.073,1005.0,13708.0
293,8095,0.128,438.0,3417.0
294,8097,0.07,917.0,13128.0
295,8099,0.13,1204.0,9264.0
296,8101,0.077,10248.0,132747.0
297,8103,0.095,490.0,5174.0
298,8105,0.141,1228.0,8703.0
299,8107,0.091,1846.0,20207.0
300,8109,0.123,591.0,4787.0
301,8111,0.135,84.0,621.0
302,8113,0.076,498.0,6592.0
303,8115,0.102,159.0,1554.0
304,8117,0.104,2687.0,25782.0
305,8119,0.063,1166.0,18378.0
306,8121,0.095,339.0,3571.0
307,8123,0.096,28994.0,301279.0
308,8125,0.135,1058.0,7846.0
309,9110,0.0579999999999999,44381.0,770519.0
310,9120,0.078,20413.0,263170.0
