poverty_rate_pct,total_population_poverty,fips
19.1,50816,12001
12.8,3338,12003
11.9,21668,12005
16.4,4028,12007
10.0,62175,12009
13.3,257252,12011
22.2,2635,12013
9.1,18138,12015
16.9,26985,12017
8.8,19677,12019
10.3,40381,12021
19.0,12901,12023
24.8,8087,12027
22.1,3411,12029
13.9,137467,12031
16.4,50147,12033
9.1,11424,12035
18.1,2050,12037
26.0,10947,12039
14.6,2619,12041
19.5,2100,12043
18.0,2425,12045
23.4,2715,12047
24.7,5867,12049
21.1,8590,12051
12.1,24654,12053
15.6,16289,12055
12.9,191075,12057
19.6,3513,12059
11.5,19060,12061
17.5,7242,12063
16.0,2203,12065
21.4,1463,12067
9.7,39355,12069
11.1,89587,12071
18.7,52424,12073
15.9,7151,12075
21.9,1332,12077
21.2,3537,12079
10.1,42580,12081
15.6,60464,12083
10.1,15939,12085
14.5,381423,12086
13.2,10680,12087
6.8,6603,12089
8.0,16979,12091
18.4,7027,12093
12.6,178037,12095
12.9,54089,12097
11.1,165851,12099
10.9,65148,12101
12.4,117299,12103
15.7,120353,12105
22.5,16484,12107
5.9,17860,12109
13.4,47534,12111
9.4,18064,12113
8.5,38638,12115
11.1,52808,12117
9.4,12830,12119
18.9,8054,12121
19.5,3831,12123
18.0,2070,12125
11.8,66107,12127
11.7,3771,12129
11.1,9000,12131
19.4,4538,12133
20.3,3644,13001
21.1,1717,13003
22.9,2485,13005
21.6,599,13007
24.1,9253,13009
12.1,2328,13011
9.3,8282,13013
10.3,11545,13015
26.8,4489,13017
21.9,3947,13019
22.5,34064,13021
16.3,1862,13023
16.2,2928,13025
25.5,4067,13027
8.0,3864,13029
23.8,18278,13031
21.8,5264,13033
13.2,3119,13035
33.9,1282,13037
12.4,6772,13039
18.5,1974,13043
13.2,15981,13045
11.0,7508,13047
22.9,2345,13049
15.9,45884,13051
15.6,1029,13053
18.1,4271,13055
5.6,15654,13057
26.5,31580,13059
25.1,700,13061
14.6,42575,13063
21.5,1410,13065
8.0,61108,13067
19.9,7959,13069
22.6,10128,13071
7.0,11298,13073
20.6,3527,13075
7.5,11387,13077
16.9,2034,13079
25.1,4833,13081
11.3,1745,13083
8.0,2398,13085
22.6,6363,13087
13.5,101463,13089
24.4,4391,13091
23.7,2155,13093
27.7,22306,13095
10.2,14898,13097
23.7,2461,13099
21.1,774,13101
8.6,5859,13103
16.2,3171,13105
20.8,4490,13107
21.6,2186,13109
11.4,2932,13111
5.9,7155,13113
15.1,14366,13115
4.1,10836,13117
16.0,3731,13119
12.7,133088,13121
14.0,4480,13123
13.9,400,13125
13.7,11354,13127
11.5,6721,13129
21.6,5587,13131
13.6,2716,13133
8.9,86107,13135
13.8,6213,13137
11.7,24679,13139
26.5,1912,13141
15.1,4682,13143
9.0,3235,13145
14.2,3711,13147
14.9,1727,13149
8.0,19857,13151
10.7,17991,13153
19.1,1676,13155
7.3,6088,13157
12.9,2038,13159
20.2,2995,13161
23.7,3511,13163
27.9,2070,13165
27.3,2033,13167
11.5,3243,13169
13.0,2442,13171
19.2,1878,13173
21.4,10450,13175
10.3,3360,13177
14.4,9160,13179
15.4,1201,13181
14.2,2550,13183
15.4,17678,13185
12.1,3740,13187
17.7,3798,13189
17.0,1893,13191
23.8,2365,13193
12.2,3809,13195
19.4,1423,13197
16.6,3435,13199
22.9,1292,13201
22.7,4470,13205
11.4,3208,13207
20.2,1602,13209
11.2,2337,13211
13.3,5332,13213
17.8,35163,13215
12.3,14313,13217
6.0,2583,13219
12.7,1954,13221
7.9,14003,13223
18.4,5008,13225
10.7,3684,13227
16.7,3338,13229
8.7,1709,13231
14.9,6441,13233
19.6,1693,13235
13.3,3027,13237
22.3,501,13239
12.7,2160,13241
27.4,1635,13243
18.4,35823,13245
11.2,10561,13247
15.4,693,13249
18.8,2572,13251
23.2,2090,13253
19.3,13102,13255
13.7,3587,13257
25.9,1010,13259
22.3,6101,13261
20.8,1192,13263
20.0,315,13265
23.5,4732,13267
22.5,1708,13269
30.6,2834,13271
29.2,2462,13273
19.8,8921,13275
16.6,6697,13277
21.1,5593,13279
12.9,1597,13281
21.7,1297,13283
17.8,12263,13285
25.5,2218,13287
21.2,1605,13289
10.3,2665,13291
20.9,5780,13293
14.8,9937,13295
11.3,11458,13297
17.6,5943,13299
23.4,1189,13301
22.0,3949,13303
17.8,5136,13305
18.1,421,13307
31.1,1565,13309
12.1,3391,13311
12.9,13161,13313
26.4,1790,13315
18.6,1766,13317
17.0,1456,13319
22.2,4499,13321
14.6,29609,15001
9.3,89980,15003
22.7,13,15005
9.1,6620,15007
9.0,14663,15009
8.0,40623,16001
12.1,579,16003
12.7,11147,16005
9.6,641,16007
14.4,1483,16009
11.8,5825,16011
6.9,1700,16013
9.7,808,16015
12.3,6258,16017
10.7,13653,16019
12.4,1644,16021
14.9,399,16023
9.4,108,16025
10.5,25965,16027
9.7,689,16029
11.6,2926,16031
14.5,116,16033
14.5,1208,16035
12.9,575,16037
10.6,3004,16039
8.0,1203,16041
11.7,1580,16043
12.9,2589,16045
13.3,2083,16047
12.6,2161,16049
8.4,2774,16051
11.7,2924,16053
10.0,18165,16055
16.1,6179,16057
14.0,1146,16059
15.8,592,16061
10.8,569,16063
21.6,8668,16065
12.3,2727,16067
10.6,4444,16069
10.8,506,16071
13.1,1632,16073
11.7,3132,16075
13.9,1112,16077
13.3,1834,16079
7.4,919,16081
11.1,10192,16083
7.7,946,16085
14.2,1548,16087
13.4,8475,17001
23.4,1120,17003
12.0,1701,17005
9.1,4790,17007
13.9,637,17009
12.6,4064,17011
10.4,445,17013
12.8,1828,17015
11.8,1474,17017
19.0,36364,17019
15.6,4747,17021
11.4,1703,17023
13.5,1737,17025
8.2,2901,17027
17.5,7657,17029
13.7,688627,17031
11.9,2050,17033
9.4,958,17035
13.2,12554,17037
10.8,1631,17039
8.7,1697,17041
6.8,61619,17043
14.2,2277,17045
11.2,675,17047
9.2,3133,17049
13.3,2513,17051
11.8,1516,17053
19.5,7166,17055
12.9,3997,17057
19.1,905,17059
13.3,1528,17061
7.0,3677,17063
13.4,1058,17065
12.3,2091,17067
17.8,637,17069
12.0,732,17071
8.7,4131,17073
12.0,3119,17075
23.3,11569,17077
10.6,966,17079
14.7,5096,17081
10.0,2057,17083
8.5,1828,17085
15.5,1692,17087
8.1,41027,17089
13.6,13994,17091
5.8,7862,17093
15.0,6788,17095
8.2,56275,17097
14.5,15239,17099
16.6,2109,17101
12.1,3757,17103
12.0,4054,17105
13.6,3303,17107
20.4,4971,17109
5.9,18106,17111
11.2,18099,17113
14.8,14579,17115
12.1,5241,17117
12.3,31585,17119
15.3,5518,17121
11.8,1345,17123
12.7,1598,17125
15.2,2076,17127
8.6,1034,17129
8.6,1318,17131
6.1,2115,17133
15.1,3862,17135
12.0,3606,17137
10.2,1428,17139
8.5,4320,17141
13.8,23909,17143
14.9,2720,17145
7.3,1211,17147
16.6,2345,17149
15.9,589,17151
24.5,1188,17153
7.5,419,17155
14.6,3999,17157
14.5,2208,17159
14.8,20347,17161
15.7,39066,17163
18.9,4253,17165
11.2,21500,17167
14.6,971,17169
11.5,542,17171
11.3,2327,17173
11.4,595,17175
14.0,6005,17177
8.9,11269,17179
20.7,3383,17181
17.3,12043,17183
13.9,1497,17185
15.6,2410,17187
8.1,1082,17189
13.7,2158,17191
15.1,1972,17193
12.9,6944,17195
7.1,48828,17197
12.7,8195,17199
15.4,42830,17201
6.9,2572,17203
11.5,4070,18001
11.5,44410,18003
12.7,10442,18005
10.1,872,18007
12.7,1492,18009
5.2,3825,18011
9.7,1489,18013
10.3,2106,18015
13.1,4823,18017
9.6,11755,18019
12.7,3302,18021
11.2,3592,18023
18.0,1879,18025
10.7,3498,18027
10.6,5353,18029
10.9,2828,18031
9.2,3956,18033
19.0,19758,18035
8.4,3606,18037
13.1,26704,18039
14.3,3290,18041
10.1,7971,18043
12.3,2026,18045
9.1,2091,18047
13.8,2779,18049
9.7,3139,18051
19.3,11806,18053
12.7,3888,18055
4.5,16387,18057
5.0,4103,18059
7.7,3020,18061
5.4,9627,18063
13.9,6269,18065
15.2,12517,18067
12.8,4554,18069
11.1,5032,18071
9.4,3108,18073
13.7,2728,18075
11.9,3640,18077
12.2,3307,18079
7.6,12267,18081
14.6,4988,18083
10.7,8459,18085
7.8,3154,18087
14.7,72873,18089
15.3,16055,18091
12.4,5525,18093
15.0,18875,18095
15.7,149846,18097
10.3,4719,18099
12.8,1232,18101
13.6,4366,18103
18.2,23312,18105
11.0,4082,18107
9.2,6594,18109
12.5,1703,18111
9.8,4571,18113
9.1,553,18115
14.5,2809,18117
14.0,2964,18119
14.4,2213,18121
16.6,2903,18123
11.8,1410,18125
8.9,15180,18127
9.7,2416,18129
13.5,1660,18131
9.5,3125,18133
15.4,3714,18135
12.0,3410,18137
12.2,2003,18139
13.2,34388,18141
15.4,3720,18143
14.1,6233,18145
9.3,1850,18147
12.6,2907,18149
9.4,3078,18151
12.7,2339,18153
13.6,1340,18155
19.2,33200,18157
10.1,1527,18159
11.3,782,18161
15.4,26687,18163
14.0,2130,18165
18.5,17975,18167
11.5,3400,18169
9.6,803,18171
7.4,4762,18173
12.6,3504,18175
17.8,11373,18177
9.1,2525,18179
9.4,2295,18181
9.0,3085,18183
9.1,666,19001
10.1,362,19003
11.6,1591,19005
14.3,1703,19007
11.6,635,19009
7.5,1897,19011
16.6,20825,19013
8.6,2232,19015
6.7,1582,19017
9.6,1962,19019
10.2,2019,19021
9.6,1351,19023
8.6,779,19025
8.5,1721,19027
13.7,1763,19029
7.8,1408,19031
11.7,4844,19033
10.7,1200,19035
8.3,958,19037
11.6,1108,19039
9.3,1499,19041
11.5,1929,19043
13.3,6077,19045
11.8,1876,19047
4.9,5214,19049
11.6,1047,19051
17.9,1285,19053
8.5,1471,19055
14.8,5593,19057
7.0,1240,19059
10.6,10067,19061
11.5,1014,19063
13.0,2389,19065
11.7,1778,19067
11.8,1147,19069
10.5,670,19071
10.4,900,19073
7.1,872,19075
10.1,1060,19077
9.2,1339,19079
7.7,807,19081
10.7,1701,19083
9.2,1323,19085
12.0,2187,19087
9.1,856,19089
7.8,735,19091
9.7,650,19093
7.4,1194,19095
10.3,1960,19097
8.8,3182,19099
13.6,2031,19101
15.3,22481,19103
10.6,2076,19105
11.8,1155,19107
8.7,1236,19109
13.5,4255,19111
9.1,20251,19113
10.9,1149,19115
16.1,1391,19117
6.7,802,19119
6.7,1132,19121
10.3,2192,19123
8.1,2597,19125
11.1,4283,19127
8.9,1283,19129
11.5,1186,19131
11.3,941,19133
9.8,729,19135
11.2,1119,19137
12.3,5116,19139
8.7,1186,19141
10.9,646,19143
12.5,1738,19145
11.2,950,19147
6.6,1680,19149
11.0,760,19151
10.2,50460,19153
11.7,10637,19155
8.9,1498,19157
13.2,601,19159
9.5,902,19161
11.8,20116,19163
8.8,1007,19165
8.0,2695,19167
16.6,14563,19169
13.5,2243,19171
12.4,719,19173
