,county,state,geoid,sub_price,roi_mean,roi_std,roi_p10,roi_p50,roi_p90
0,Autauga County,Alabama,1001,80,140.103276989995,5.280566752507129,132.3367564484535,141.78288025970357,144.78699662947957
1,Baldwin County,Alabama,1003,80,146.01314229793655,1.6783372196858155,143.73604204238862,146.2885918725388,147.9275928109095
2,Barbour County,Alabama,1005,80,129.56169442709648,11.094940718608683,111.89918417574026,133.79282745509568,139.46561507464995
3,Bibb County,Alabama,1007,80,127.5552417973216,11.64144856884101,110.05925621953111,131.57121045829064,138.82326053357463
4,Blount County,Alabama,1009,80,140.04642644613656,5.1143479851188385,132.85581159323965,141.79321760739725,144.74252847716104
5,Bullock County,Alabama,1011,80,110.13210135225326,18.92401781048842,81.7509274088914,116.35201045466258,128.69559905134005
6,Butler County,Alabama,1013,80,124.35763287071659,13.432274620053528,102.90927661805222,129.1336675732872,136.98499908638436
7,Calhoun County,Alabama,1015,80,143.92185562606826,3.076627508573869,139.63004743768022,144.72753420471201,146.85565584478582
8,Chambers County,Alabama,1017,80,134.33801993551555,8.49807977641486,121.71007468567477,137.33789811609591,142.1005289240277
9,Cherokee County,Alabama,1019,80,129.69635443351208,10.614947255835778,114.31654314277175,133.04900524317208,139.4219898785305
10,Chilton County,Alabama,1021,80,137.5970272334671,6.658295934030814,128.13345363197837,139.7333935634406,143.61909732088608
11,Choctaw County,Alabama,1023,80,115.39291924766364,17.895783721406396,87.99748570111052,121.69563778786974,131.64277237687818
12,Clarke County,Alabama,1025,80,128.14576395984705,11.958972855383497,110.43239711487834,132.3674361167782,138.51697111992516
13,Clay County,Alabama,1027,80,119.68806508428659,15.978116237972136,94.89353374991299,125.49720781434081,134.15700259399435
14,Cleburne County,Alabama,1029,80,120.46901663369675,15.545466083961207,96.96906730450499,125.70987876613361,134.2712578687792
15,Coffee County,Alabama,1031,80,139.32194986726572,5.589685582904351,131.00192237931677,141.0622471186761,144.29143898973066
16,Colbert County,Alabama,1033,80,139.9304999039097,5.119046713380805,132.65662954316278,141.63887664137985,144.73965101217726
17,Conecuh County,Alabama,1035,80,112.4764747742376,18.557505816626016,84.98670074046267,119.08854345859268,130.09333263269238
18,Coosa County,Alabama,1037,80,108.72456826398955,20.202389828264597,76.64241539598164,115.44406719440336,128.0976896378818
19,Covington County,Alabama,1039,80,135.63721356566052,7.782579063740487,123.78503651707864,138.3396274653722,142.45835205870125
20,Crenshaw County,Alabama,1041,80,115.81484064679042,17.66287831532482,88.35612942199887,122.24407544452939,132.50866809966976
21,Cullman County,Alabama,1043,80,142.68025052655165,3.530090916937094,137.85397030288422,143.6972663956405,146.0574585916574
22,Dale County,Alabama,1045,80,138.42387395489544,6.473430100983058,128.9451771406051,140.86147691855126,144.06869409503952
23,Dallas County,Alabama,1047,80,135.20555671795643,8.095969663225823,123.57798531982252,137.98587880724097,142.37922563096117
24,DeKalb County,Alabama,1049,80,141.2797247598818,4.627652925630493,134.84699499400804,142.76584099256337,145.5315835694381
25,Elmore County,Alabama,1051,80,142.37487101728755,3.897832227004685,136.11420538327522,143.6246555053823,146.0239165651884
26,Escambia County,Alabama,1053,80,135.04986387812409,8.320889686666973,122.9980157098479,138.10619623838642,142.46058464155095
27,Etowah County,Alabama,1055,80,143.30813864425357,3.2281820769419616,138.5838478312457,144.25153779250746,146.45579945076818
28,Fayette County,Alabama,1057,80,121.38856046241168,15.435477198347517,98.04013638422103,126.83159634523778,135.4725254600306
29,Franklin County,Alabama,1059,80,133.62805230130974,9.13646145148202,120.91108536613082,136.71101530248092,141.50330713968398
30,Geneva County,Alabama,1061,80,130.5449906062223,10.907719926065122,112.35282523750621,134.69499898017327,140.41790205159134
31,Greene County,Alabama,1063,80,99.06519321632587,23.82344354385104,62.9766341151352,106.3982757483495,122.50564116650972
32,Hale County,Alabama,1065,80,119.7072765012793,15.548876518353257,94.82324445654669,125.12907204729083,133.50975019961
33,Henry County,Alabama,1067,80,123.8675851816726,13.59811844950335,102.5410047037729,128.6181109654973,136.08722008323122
34,Houston County,Alabama,1069,80,143.37370009845642,3.3090987209820066,138.49993850462542,144.3402953643994,146.42631386129935
35,Jackson County,Alabama,1071,80,139.2806562096155,5.485008574517107,131.21567890565115,141.02361462203618,144.29973687390324
36,Jefferson County,Alabama,1073,80,147.2862354796717,1.2288050467539207,145.671256012464,147.3326030935604,148.87234040357853
37,Lamar County,Alabama,1075,80,117.60438793927086,16.38548985193034,93.62450975763743,123.20960486785057,133.38921912897075
38,Lauderdale County,Alabama,1077,80,143.02197134615236,3.4183191946294684,138.1717133166511,144.0049454829882,146.2516725904659
39,Lawrence County,Alabama,1079,80,134.3026876910946,8.58568249908901,121.41998223079123,137.39057423433457,141.82397545401886
40,Lee County,Alabama,1081,80,145.36398271207605,2.0594876323033118,142.91370441725942,145.7286214164005,147.50980231026043
41,Limestone County,Alabama,1083,80,143.56898092170002,3.1391618507747907,139.40247320036931,144.41908084750412,146.47930570653853
